index,image,type,score
0,105806915_a9c13e2106_n.jpg,daisy,13.559551
1,107592979_aaa9cdfe78_m.jpg,daisy,10.554123
2,107693873_86021ac4ea_n.jpg,tulips,10.25742
3,112951086_150a59d499_n.jpg,tulips,8.657912
4,11642632_1e7627a2cc.jpg,roses,8.530191
5,11746548_26b3256922_n.jpg,tulips,12.968482
6,118974357_0faa23cce9_n.jpg,roses,16.633766
7,12240303_80d87f77a3_n.jpg,roses,6.346207
8,123128873_546b8b7355_n.jpg,roses,5.995012
9,13290033_ebd7c7abba_n.jpg,dandelion,11.198144
10,159079265_d77a9ac920_n.jpg,roses,11.790672
11,24459750_eb49f6e4cb_m.jpg,sunflowers,12.46465
12,24781114_bc83aa811e_n.jpg,roses,7.9202437
13,25360380_1a881a5648.jpg,daisy,22.010612
14,26254755_1bfc494ef1_n.jpg,tulips,7.4005437
15,43474673_7bb4465a86.jpg,daisy,20.206572
16,44079668_34dfee3da1_n.jpg,sunflowers,20.800484
17,45045003_30bbd0a142_m.jpg,sunflowers,13.05219
18,54377391_15648e8d18.jpg,daisy,10.663244
19,5794839_200acd910c_n.jpg,daisy,14.391014
20,8475758_4c861ab268_m.jpg,sunflowers,8.48217
21,8684108_a85764b22d_n.jpg,sunflowers,10.140933
22,fortest.jpg,sunflowers,10.9775915
23,ss1_lo.jpg,roses,14.813002
